CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
DL DETECT;49.189397545766376;False;1.0;15.0;True;112;4;11403338;119752886;137259;0.0;0.0;0.0;0.0;0.0;11728.18777;0.0;0.002277;24057.077237;12115.909867;522.277762;37.442939;1001.015542;8.265594;0.0;10652.123457;10565653
DL DETECT;41.84309172636684;False;1.0;15.0;True;168;4;37562083;148568178;168734;0.0;0.0;0.0;0.0;0.0;31499.726515;0.0;0.0040149999999999995;59552.924441999996;41603.646469;1224.693892;55.750298;1704.373889;25.227911;0.0;15810.825837999999;14832610
DL DETECT;508.145570937459;False;1.0;15.0;True;16;4;1797;16364171;11333;0.0;0.0;0.0;0.0;0.0;18.574864;0.0;3.1e-05;49.846598;0.187408;4.870778;0.915125;13.665381;0.081903;0.0;30.817323;1583083
DL DETECT;236.71160241919256;False;1.0;15.0;True;1;4;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.422455;0.0;0.12346099999999999;0.027906;0.26969699999999996;0.002936;0.0;0.0;100000
DL DETECT;6.45255764398479;False;1.0;15.0;True;224;4;192586608;341504834;64577;0.0;0.0;0.0;0.0;0.0;183220.551945;0.0;0.034714999999999996;298360.613298;284278.817309;3873.863954;45.478072999999995;2694.03436;70.076838;0.0;11170.687673999999;8594594
DL DETECT;1.19140111487772;False;1.0;15.0;True;280;4;1615411205;2430624523;71755;0.0;0.0;0.0;0.0;0.0;1579606.1040639998;0.0;0.235017;2789652.148631;2766492.785021;23735.70299;76.7943;5505.330799;539.110046;0.0;17320.456108000002;11869981
DL DETECT;319.84416470019096;False;1.0;15.0;True;28;4;4119;33778128;34009;0.0;0.0;0.0;0.0;0.0;112.18921599999999;0.0;8.8e-05;243.96013;0.86205;14.713147;2.199161;40.760595;0.180557;0.0;189.077931;2786758
DL DETECT;663.2999026723326;False;1.0;15.0;True;4;4;0;1412;0;0.0;0.0;0.0;0.0;0.0;0.000469;0.0;6e-06;2.405277;0.0;0.670455;0.216998;1.6464880000000002;0.008002;0.0;0.000766;398855
DL DETECT;185.76479573048022;False;1.0;15.0;True;56;4;10877;74234162;91866;0.0;0.0;0.0;0.0;0.0;820.768541;0.0;0.000301;1679.093559;6.2427529999999996;51.880449;6.592327;139.95314399999998;0.431302;0.0;1487.845449;5569937
DL DETECT;758.3512823234576;False;1.0;15.0;True;8;4;447;4462258;1923;0.0;0.0;0.0;0.0;0.0;1.521421;0.0;1.1e-05;8.346802;0.016544;1.5617;0.421129;3.9065839999999996;0.021981;0.0;2.6003819999999997;791226
