CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
DL DETECT;358.0186416110635;False;1.0;15.0;True;1024;1024;309439;130100018;0;0.0;0.0;0.0;0.0;0.0;187.34051000000002;0.0;0.00286;278832.36809899996;512.5106440000001;137357.631974;464.211425;277203.823183;4.950076999999999;0.0;5.515791;97487486
DL DETECT;3192.3875000329476;False;1.0;15.0;True;112;1024;0;76859;0;0.0;0.0;0.0;0.0;0.0;0.077467;0.0;3.5e-05;378.62442200000004;0.0;172.294502;5.900975;347.520219;0.21885100000000002;0.0;0.081337;10792106
DL DETECT;227.69136890327897;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.439191;0.0;0.123902;0.02897;0.273698;0.002691;0.0;0.0;100000
DL DETECT;1744.0725508134824;False;1.0;15.0;True;224;1024;794;1415455;0;0.0;0.0;0.0;0.0;0.0;1.527836;0.0;0.000128;2732.412753;0.9077569999999999;1357.5157550000001;13.531588000000001;2631.328404;0.46870600000000007;0.0;0.8568379999999999;21274670
DL DETECT;3827.157036025612;False;1.0;15.0;True;28;1024;0;68;0;0.0;0.0;0.0;0.0;0.0;5.9e-05;0.0;7.000000000000001e-06;20.236936;0.0;5.135333999999999;1.700207;13.489019;0.055640999999999996;0.0;0.00018;2766069
DL DETECT;890.0875238053612;False;1.0;15.0;True;448;1024;26461;16164920;0;0.0;0.0;0.0;0.0;0.0;21.703901000000002;0.0;0.000503;21318.572841999998;32.855449;10583.061217;143.282736;20901.867859;1.9233770000000001;0.0;2.4302509999999997;42355794
DL DETECT;7031.660221393045;False;1.0;15.0;True;56;1024;0;381;0;0.0;0.0;0.0;0.0;0.0;0.000534;0.0;8e-06;44.073381;0.0;11.333322;3.517032;29.441782;0.112046;0.0;0.001048;5534090
DL DETECT;429.23988900682644;False;1.0;15.0;True;896;1024;215053;94248033;0;0.0;0.0;0.0;0.0;0.0;132.406577;0.0;0.0020870000000000003;175505.01602799998;327.372486;87005.153154;380.529237;174242.89682999998;4.231429;0.0;5.147451;84077850
DL DETECT;1237.251821503415;False;1.0;15.0;True;8;1024;0;3;0;0.0;0.0;0.0;0.0;0.0;1.4000000000000001e-05;0.0;6e-06;5.116378;0.0;1.365977;0.45668000000000003;3.4438910000000003;0.015913;0.0;4.1e-05;791281
HSTORE;17598.683371144645;False;1.0;15.0;True;1024;1024;1135867;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7999999999999994e-05;2747.7933399999997;38.613409000000004;0.0;303.865331;431.250088;1.54589;1.182234;1543.105842;47224165
HSTORE;31987.311282417555;False;1.0;15.0;True;112;1024;15552;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;35.527625;0.041116;0.0;9.678347;6.381598;0.207171;0.22394099999999997;0.884526;10146725
HSTORE;593.0353923522156;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.168624;0.0;0.0;0.064864;0.024812;0.002738;0.002173;0.0;100000
HSTORE;40097.192173693424;False;1.0;15.0;True;224;1024;63807;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;95.716925;0.206499;0.0;21.800683;19.103298000000002;0.351688;0.375773;11.467774;17133839
HSTORE;10613.059322671386;False;1.0;15.0;True;28;1024;706;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;7.284972;0.0008789999999999999;0.0;2.043021;1.207439;0.055227;0.063269;0.038228;2761280
HSTORE;35851.114151397494;False;1.0;15.0;True;448;1024;265789;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2e-05;273.094887;3.077958;0.0;60.93982;58.522805000000005;0.464562;0.48670399999999997;36.915608;21854366
HSTORE;19113.456178547498;False;1.0;15.0;True;56;1024;2723;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;16.135807;0.003505;0.0;4.503655;2.577003;0.111099;0.125902;0.186727;5507340
HSTORE;25336.52198922519;False;1.0;15.0;True;896;1024;899961;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5e-05;1471.1293699999999;25.222404;0.0;227.74594;303.904968;1.160874;1.00299;570.029305;41599667
HSTORE;3471.048339773257;False;1.0;15.0;True;8;1024;60;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;1.821709;8.9e-05;0.0;0.515003;0.320986;0.015718;0.018287;0.002264;790405
MVCC;87.09688173333775;False;1.0;15.0;True;1024;1024;37385;0;0;0.0;0.0;192275036600172.03;393943905430822.0;0.0;0.0;0.0;0.011757;594364.55177;16753.905458;2056.740916;1717.238648;571155.696196;16.441825;4.965679;2814.369566;50554003
MVCC;3222.0859609803665;False;1.0;15.0;True;112;1024;557;0;0;0.0;0.0;86324596394.0;182401714484.0;0.0;0.0;0.0;3.5e-05;358.803423;0.320126;21.019297;12.625972;304.200458;0.22897800000000001;0.221559;0.058882000000000004;10322281
MVCC;227.8371420108906;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;100253920.0;94395088.0;0.0;0.0;0.0;4e-06;0.43891;0.0;0.044278;0.041986;0.285672;0.001956;0.002134;0.0;100000
MVCC;743.3570516992357;False;1.0;15.0;True;224;1024;3550;0;0;0.0;0.0;1370718784188.0;4085430946956.0;0.0;0.0;0.0;0.000301;5980.347912;21.239284;190.75483799999998;93.280447;5640.11558;0.571675;0.46102600000000005;3.6481769999999996;19846133
MVCC;3534.775984811593;False;1.0;15.0;True;28;1024;15;0;0;0.0;0.0;4763775354.0;4811536088.0;0.0;0.0;0.0;8e-06;21.793991000000002;0.000239;2.0654470000000003;1.819893;14.491283;0.058329;0.057446000000000004;0.000126;2751317
MVCC;150.23564795697865;False;1.0;15.0;True;448;1024;15199;0;0;0.0;0.0;8266368497942.0;78567262796280.0;0.0;0.0;0.0;0.002982;89098.560069;1206.403903;1022.88179;572.72829;86309.102977;2.3770860000000003;2.0618990000000004;187.052637;29878973
MVCC;6075.1457821326685;False;1.0;15.0;True;56;1024;51;0;0;0.0;0.0;11796675976.0;10997720692.0;0.0;0.0;0.0;9e-06;50.710604;0.0013130000000000001;4.456768;3.885646;34.402458;0.11663;0.11816099999999999;0.001059;5501327
MVCC;66.09099506207865;False;1.0;15.0;True;896;1024;33576;0;0;0.0;0.0;78335427616940.02;403610627974826.0;0.0;0.0;0.0;0.013557;489902.30880299996;17471.374698;1971.881627;1662.970842;466093.543446;13.195893;4.239361;2810.1757;36136307
MVCC;1208.1940297237747;False;1.0;15.0;True;8;1024;2;0;0;0.0;0.0;1188510026.0;1085917204.0;0.0;0.0;0.0;7.000000000000001e-06;5.172156;4.8e-05;0.520888;0.47197799999999995;3.36299;0.016388;0.016644;9e-06;781121
NO WAIT;381.14113048469;False;1.0;15.0;True;1024;1024;302442;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002687;258226.62886799997;191.529397;126604.198428;89.256387;257390.161333;2.491279;0.0;0.0;96114052
NO WAIT;3204.15161159664;False;1.0;15.0;True;112;1024;1370;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5e-05;375.460171;0.047615;173.169496;5.890061;346.63241800000003;0.21528200000000003;0.0;0.0;10741351
NO WAIT;236.9713169917913;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.42199200000000003;0.0;0.111622;0.030469;0.265644;0.001947;0.0;0.0;100000
NO WAIT;2043.6283447639257;False;1.0;15.0;True;224;1024;8269;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011;2307.972639;0.44005;1121.415555;13.063921;2230.574998;0.444225;0.0;0.0;21056421
NO WAIT;3880.1516722057586;False;1.0;15.0;True;28;1024;40;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;19.908196;0.000362;4.925598;1.6820279999999999;13.265982000000001;0.05626799999999999;0.0;0.0;2758815
NO WAIT;609.652400766458;False;1.0;15.0;True;448;1024;80735;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000735;30386.783775;12.669761;14995.651579;57.809404;29962.130158999997;1.254894;0.0;0.0;41351285
NO WAIT;7121.1251939857275;False;1.0;15.0;True;56;1024;160;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;43.572148999999996;0.001637;10.945877000000001;3.4889900000000003;29.116228999999997;0.113515;0.0;0.0;5540763
NO WAIT;220.73013367979084;False;1.0;15.0;True;896;1024;380500;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004059;338942.927206;252.54447799999997;155983.794456;184.76833200000002;337509.293048;3.7020470000000003;0.0;0.0;83498792
NO WAIT;1252.199559889917;False;1.0;15.0;True;8;1024;2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;5.047828;4.2e-05;1.305042;0.46741400000000005;3.392604;0.016049;0.0;0.0;790111
OCC;364.2563479011607;False;1.0;15.0;True;1024;1024;105735;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002811;241013.97836399998;32973.19874;76557.043568;67.13931099999999;207582.061114;1.9827560000000002;3.46265;0.0;85733273
OCC;720.6032716201476;False;1.0;15.0;True;112;1024;2032;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000155;1702.552359;2.358217;602.381491;4.863668;1673.383726;0.247047;0.439629;0.0;10954150
OCC;161.69089874269156;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;0.618464;0.0;0.3425;0.031076;0.475444;0.0022559999999999998;0.004058;0.0;100000
OCC;611.0400727227824;False;1.0;15.0;True;224;1024;7578;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000367;7738.379387999999;53.728067;2546.908671;10.371688;7618.248908;0.477079;0.8483700000000001;0.0;21109196
OCC;1069.5686213416402;False;1.0;15.0;True;28;1024;129;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6000000000000002e-05;72.58574200000001;0.009262000000000001;36.410294;1.274345;66.698417;0.061579999999999996;0.113285;0.0;2772694
OCC;419.52823617704865;False;1.0;15.0;True;448;1024;26687;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001068;44301.393416000006;1302.1230070000001;14488.52947;28.879059;42798.0794;0.9438790000000001;1.663053;0.0;41485905
OCC;1009.5734318593512;False;1.0;15.0;True;56;1024;486;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5e-05;305.062703;0.13173900000000002;127.72815700000001;2.34476;293.12305;0.125041;0.22466599999999998;0.0;5499700
OCC;372.1371325616359;False;1.0;15.0;True;896;1024;87988;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002408;186696.280873;18200.104455;59217.64443200001;61.62021;168080.539947;1.782218;3.142012;0.0;77540869
OCC;602.9348194040147;False;1.0;15.0;True;8;1024;8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3000000000000001e-05;10.537139;0.000256;6.537405000000001;0.391189;8.96493;0.017181000000000002;0.033056;0.0;794151
WAIT DIE;386.1453815017403;False;1.0;15.0;True;1024;1024;294410;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002652;257324.45801;90.928925;125877.608443;91.883492;256538.78218600003;6.445147;2.628277;55.126059999999995;97035792
WAIT DIE;3217.2103318870722;False;1.0;15.0;True;112;1024;1264;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5e-05;371.719781;0.018793;170.514143;6.016336;342.181878;0.6152989999999999;0.264959;0.007345;10677685
WAIT DIE;232.0788696830731;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.430888;0.0;0.11729;0.029174000000000002;0.266759;0.005483;0.0022719999999999997;0.0;100000
WAIT DIE;1765.3655792445254;False;1.0;15.0;True;224;1024;7755;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000127;2665.020716;0.261363;1335.571322;13.627772;2582.0844620000003;1.191856;0.5060899999999999;0.10915799999999999;21003285
WAIT DIE;3902.7434832447143;False;1.0;15.0;True;28;1024;36;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;19.871161999999998;0.000322;4.847269;1.6814060000000002;13.080501;0.171552;0.076673;0.000105;2769716
WAIT DIE;902.6341395680065;False;1.0;15.0;True;448;1024;65607;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000496;20984.521956;5.280145;10492.224081;36.298277;20730.696594;2.680973;1.0793059999999999;1.7746099999999998;42279790
WAIT DIE;7070.163768258006;False;1.0;15.0;True;56;1024;125;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;43.795239;0.0011970000000000001;10.750097;3.5290449999999995;28.974545000000003;0.324484;0.137998;0.00031800000000000003;5529277
WAIT DIE;440.9093665793134;False;1.0;15.0;True;896;1024;238419;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002032;172620.28622;59.307811;85112.09858600001;79.01878;171968.915091;5.70619;2.3753279999999997;30.662908;84944086
WAIT DIE;1255.681315053577;False;1.0;15.0;True;8;1024;5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;5.025377;5.6999999999999996e-05;1.27575;0.46460100000000004;3.335576;0.045370999999999995;0.018741999999999998;8e-06;788784
