CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
DL DETECT;7746.135399837966;False;1.0;15.0;False;112;1024;0;195;0;0.0;0.0;0.0;0.0;0.0;0.000869;0.0;1.4000000000000001e-05;146.889452;0.0;21.455546;9.289166;86.259741;0.204315;0.0;0.001145;10159157
DL DETECT;9467.887386402617;False;1.0;15.0;False;168;1024;0;441;0;0.0;0.0;0.0;0.0;0.0;0.0026320000000000002;0.0;1.8e-05;228.22874500000003;0.0;30.537145000000002;12.948023;133.401717;0.258811;0.0;0.003261;12862167
DL DETECT;162.26864547870875;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;0.616262;0.0;0.10843599999999999;0.047468;0.36236399999999996;0.002656;0.0;0.0;100000
DL DETECT;10105.578250993907;False;1.0;15.0;False;224;1024;0;1473;0;0.0;0.0;0.0;0.0;0.0;0.004911;0.0;2.2e-05;326.47994900000003;0.0;41.155916;16.899842;191.200424;0.297035;0.0;0.005949;14728878
DL DETECT;2562.453794518258;False;1.0;15.0;False;28;1024;0;46;0;0.0;0.0;0.0;0.0;0.0;1.8e-05;0.0;1.1e-05;30.218276;0.0;4.937618;2.185568;17.423274;0.05558099999999999;0.0;5.2000000000000004e-05;2765462
DL DETECT;6401.289416632037;False;1.0;15.0;False;448;1024;303;277988;0;0.0;0.0;0.0;0.0;0.0;0.463663;0.0;7e-05;1983.517768;0.32161300000000004;510.359008;64.708432;1494.780718;0.706214;0.0;0.193857;28341677
DL DETECT;4880.434845348723;False;1.0;15.0;False;56;1024;0;86;0;0.0;0.0;0.0;0.0;0.0;0.000161;0.0;1.1e-05;63.408657999999996;0.0;10.137664;4.514278;35.850993;0.111533;0.0;0.000267;5526104
OCC;5404.351469403655;False;1.0;15.0;False;112;1024;232;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1e-05;217.638529;0.015300999999999999;73.9919;7.407055000000001;166.132725;0.22812399999999997;0.428263;0.0;10501742
OCC;5118.944997009919;False;1.0;15.0;False;168;1024;495;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3e-05;469.44200599999994;0.160029;146.974444;10.094846;382.100254;0.317272;0.581662;0.0;14303856
OCC;127.89032126048701;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;0.78192;0.0;0.292819;0.032958999999999995;0.562051;0.00236;0.004076;0.0;100000
OCC;4886.795022185422;False;1.0;15.0;False;224;1024;1065;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6e-05;893.4037880000001;0.8481920000000001;266.745967;13.27585;769.7558429999999;0.437783;0.788996;0.0;19490541
OCC;2145.1744119312743;False;1.0;15.0;False;28;1024;12;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3000000000000001e-05;36.164183;0.000301;12.374311;1.502936;26.018941;0.059811;0.112348;0.0;2770660
OCC;2870.5135657955016;False;1.0;15.0;False;448;1024;4136;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000156;6017.427654;26.435206;1702.0680300000001;32.764494;5597.192373;0.8979159999999999;1.550275;0.0;38556044
OCC;3854.623732331891;False;1.0;15.0;False;56;1024;53;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4999999999999999e-05;80.08030600000001;0.001344;27.023901000000002;3.217474;57.981007999999996;0.11687;0.228265;0.0;5512133
SILO;12534.973453321114;False;1.0;15.0;False;112;1024;85;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9e-06;91.155282;0.0015400000000000001;7.0171660000000005;5.729871;31.371615000000002;0.20725900000000003;0.0;0.0;10202045
SILO;12867.395189219877;False;1.0;15.0;False;168;1024;131;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3000000000000001e-05;134.256562;0.003958;7.124434;6.932974000000001;48.358834;0.208463;0.0;0.0;10282930
SILO;216.594612858789;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;0.461692;0.0;0.051104000000000004;0.028082;0.148621;0.002017;0.0;0.0;100000
SILO;15967.563538552165;False;1.0;15.0;False;224;1024;235;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4000000000000001e-05;186.34289099999998;0.007245000000000001;9.184791;8.624808999999999;68.68139599999999;0.27102;0.0;0.0;13283223
SILO;3853.2536692324725;False;1.0;15.0;False;28;1024;4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;20.027758;7.6e-05;1.9158279999999999;1.276024;7.775506;0.055862;0.0;0.0;2756144
SILO;9731.085562144226;False;1.0;15.0;False;448;1024;268;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6e-05;387.583578;0.02638;6.0360059999999995;17.463373999999998;151.73871100000002;0.18094000000000002;0.0;0.0;8418770
SILO;7086.978958502064;False;1.0;15.0;False;56;1024;28;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;43.5853;0.00041;3.8495220000000003;2.605737;16.798853;0.11178800000000001;0.0;0.0;5515859
WAIT DIE;8036.33497933088;False;1.0;15.0;False;112;1024;74;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4000000000000001e-05;142.85562;0.000891;19.514504000000002;9.977115;81.575215;0.62851;0.285406;0.00029;10250318
WAIT DIE;9566.906451158295;False;1.0;15.0;False;168;1024;119;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8e-05;228.945165;0.0019039999999999999;29.169705;14.105920999999999;132.085735;0.7951590000000001;0.362419;0.0008320000000000001;13037482
WAIT DIE;160.71201852688148;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;0.6222310000000001;0.0;0.11476700000000001;0.043662;0.360149;0.0054329999999999995;0.002252;0.0;100000
WAIT DIE;9187.05148955053;False;1.0;15.0;False;224;1024;182;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4e-05;338.70002400000004;0.0036479999999999998;38.430977;17.979645;195.683904;0.8495510000000001;0.387802;0.001163;13891315
WAIT DIE;2610.815780125792;False;1.0;15.0;False;28;1024;5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1e-05;29.657684999999997;7.7e-05;4.617868;2.29149;16.698473;0.167211;0.07523400000000001;1.4999999999999999e-05;2765384
WAIT DIE;6569.211739650712;False;1.0;15.0;False;448;1024;6504;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8e-05;1989.397553;0.168132;530.771806;70.13194399999999;1531.1240970000001;1.776075;0.798924;0.020669;29171370
WAIT DIE;4905.913425314986;False;1.0;15.0;False;56;1024;21;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1e-05;63.071346999999996;0.00024900000000000004;9.495459;4.756276000000001;35.104296999999995;0.32166500000000003;0.137759;6.500000000000001e-05;5525403
HSTORE;16542.381720764264;False;1.0;15.0;False;112;1024;10835;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;65.837676;0.034527999999999996;0.0;11.209894;7.363081;0.196424;0.208632;1.596336;9724214
HSTORE;13935.641608467042;False;1.0;15.0;False;168;1024;19057;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2e-05;112.268188;0.100299;0.0;16.768736999999998;11.7917;0.187211;0.198783;4.681381;9312674
HSTORE;354.37619158994426;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.282186;0.0;0.0;0.101878;0.026371;0.0026850000000000003;0.002203;0.0;100000
HSTORE;9245.692285480287;False;1.0;15.0;False;224;1024;15702;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4e-05;172.041287;0.109136;0.0;20.206279000000002;14.577263;0.14468;0.150652;11.038964;7101075
HSTORE;5480.901958587498;False;1.0;15.0;False;28;1024;409;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;14.048848999999999;0.000653;0.0;2.611911;1.385968;0.054938;0.059557000000000006;0.079466;2750013
HSTORE;13025.830607498607;False;1.0;15.0;False;448;1024;104555;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4e-05;439.17434000000003;1.476813;0.0;71.78133199999999;59.278169999999996;0.275864;0.2844;47.486364;12769220
HSTORE;10222.328756706327;False;1.0;15.0;False;56;1024;1603;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;30.074769;0.002633;0.0;5.083582;3.029589;0.11031400000000001;0.124867;0.346661;5489896
MVCC;3218.28460039401;False;1.0;15.0;False;112;1024;33;0;0;0.0;0.0;220642287546.0;43175894155.0;0.0;0.0;0.0;3.5e-05;366.718389;0.004318;10.109759;12.055133;295.23118700000003;0.230033;0.221931;0.002421;10537537
MVCC;1577.1271452369924;False;1.0;15.0;False;168;1024;72;0;0;0.0;0.0;758508772770.0;97159823141.0;0.0;0.0;0.0;0.00010700000000000001;1029.515915;0.041466;17.210495;18.607029999999998;907.068791;0.21898;0.205213;0.016811000000000003;9664747
MVCC;118.68774086193412;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;213509114.0;173314263.0;0.0;0.0;0.0;8e-06;0.8425469999999999;0.0;0.050089;0.070579;0.57491;0.001956;0.002069;0.0;100000
MVCC;1472.3427000758395;False;1.0;15.0;False;224;1024;135;0;0;0.0;0.0;1582271224936.0;162705020390.0;0.0;0.0;0.0;0.000152;2037.335248;0.078493;28.608349;38.25152;1828.374487;0.315377;0.28725100000000003;0.024735;13391320
MVCC;2002.9754248205732;False;1.0;15.0;False;28;1024;3;0;0;0.0;0.0;11074447438.0;7685045989.0;0.0;0.0;0.0;1.4000000000000001e-05;38.478539000000005;8.7e-05;2.315388;2.518566;25.0259;0.058991999999999996;0.056522;2.8000000000000003e-05;2752556
MVCC;876.0062182966545;False;1.0;15.0;False;448;1024;532;0;0;0.0;0.0;11361072883209.998;353507061900.0;0.0;0.0;0.0;0.0005110000000000001;12367.260083;1.230434;55.57057;89.76436899999999;11918.09908;0.6116590000000001;0.52527;0.569678;24182582
MVCC;3340.5227996148105;False;1.0;15.0;False;56;1024;4;0;0;0.0;0.0;29882776385.0;17675097357.0;0.0;0.0;0.0;1.7e-05;92.20397;0.00011399999999999999;4.90532;5.5104120000000005;61.820372;0.119199;0.119203;0.00011899999999999999;5500169
NO WAIT;7779.570596923749;False;1.0;15.0;False;112;1024;96;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4000000000000001e-05;147.434342;0.001715;21.096141;10.035708;86.475652;0.208977;0.0;0.0;10240856
NO WAIT;4558.899858347747;False;1.0;15.0;False;168;1024;104;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7e-05;286.616691;0.004005;27.149380999999998;13.684657000000001;172.797076;0.15923299999999999;0.0;0.0;7777719
NO WAIT;162.63388834858299;False;1.0;15.0;False;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;0.6148779999999999;0.0;0.11319000000000001;0.04433;0.357087;0.001946;0.0;0.0;100000
NO WAIT;4070.0429426194423;False;1.0;15.0;False;224;1024;238;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5e-05;616.6601;0.012676999999999999;59.340552;31.696539;376.379249;0.23170900000000003;0.0;0.0;11204612
