CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
DL DETECT;425.7636537854697;False;1.0;15.0;False;1024;1024;5141;2500025;0;10329667864.0;0.0;113767006763.0;0.0;47.855111;8.731765;0.0;0.002405;105983.124146;13.206527;1368.195371;1644.7538710000001;4440.4147729999995;4.894387;0.0;3.6073809999999997;44066174
DL DETECT;1303.9233941218931;False;1.0;15.0;False;112;1024;0;3485;0;80111066.0;0.0;2074317778.0;0.0;1.379761;0.007197;0.0;8.6e-05;838.231133;0.0;25.303458;58.259051;151.754476;0.224685;0.0;0.0077480000000000005;9758832
DL DETECT;995.1716857145555;False;1.0;15.0;False;168;1024;0;21358;0;1985262457.0;0.0;7281860416.0;0.0;5.495545;0.029224;0.0;0.000169;2540.870224;0.0;52.32541;127.325401;345.809036;0.400445;0.0;0.031404;15051203
DL DETECT;106.45919897969503;False;1.0;15.0;False;1;1024;0;0;0;726877.0;0.0;8236293.0;0.0;0.006625;0.0;0.0;9e-06;0.939327;0.0;0.124096;0.063174;0.430151;0.002689;0.0;0.0;100000
DL DETECT;665.4761193734938;False;1.0;15.0;False;224;1024;10;53633;0;1529783317.0;0.0;13345316675.0;0.0;6.415127;0.140407;0.0;0.000337;6681.231435000001;0.017909;70.049026;236.3415;542.471944;0.492913;0.0;0.134442;19849107
DL DETECT;1467.331848824097;False;1.0;15.0;False;28;1024;0;101;0;27971839.0;0.0;430667938.0;0.0;0.31100300000000003;2.8999999999999997e-05;0.0;1.9e-05;52.581687;0.0;4.864126000000001;4.548133999999999;20.086242000000002;0.058476;0.0;6.9e-05;2755528
DL DETECT;496.54182442095043;False;1.0;15.0;False;448;1024;496;245117;0;5257699454.0;0.0;56075542487.0;0.0;22.958556;1.506561;0.0;0.0009019999999999999;27113.301756;0.9766520000000001;416.968177;794.711772;2057.581104;1.707169;0.0;0.949842;30051090
DL DETECT;1835.112023423531;False;1.0;15.0;False;56;1024;0;1333;0;43013519.0;0.0;803744109.0;0.0;0.524896;0.0004969999999999999;0.0;3.1e-05;165.554885;0.0;10.162353999999999;10.691522;40.985932;0.11502799999999999;0.0;0.00064;5425210
DL DETECT;400.666528619202;False;1.0;15.0;False;896;1024;2670;860373;0;34280785354.0;0.0;62278891607.0;0.0;73.257408;21.037484;0.0;0.002236;126648.531463;10.116292999999999;762.1743280000001;1455.788116;3122.9790780000003;2.8016;0.0;15.420387;56633736
HSTORE;447.10121311824383;False;1.0;15.0;False;1024;1024;12061;0;0;43899060948.0;0.0;38586677561.0;0.0;0.518512;0.0;0.0;0.00229;131995.944427;3.362344;0.0;2107.253123;287.055865;3.369653;1.8014439999999998;42250.39443;57632370
