Backoff;CC;Configuration;Configuration Detailed;KTPS;NO HT;Numa Distance;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;neworder_cnt;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
0;SILO;1;28skt-1-config-base+alloc;1308.798442292458;False;All;1.0;15.0;False;16;4;1420785;0;0;13130144.0;0.0;127796061.0;0.0;0.064842;0.0;0.0;1.2e-05;0.0;19.252907999999998;12.052760000000001;2.367506;0.48928699999999997;2.499616;0.217926;0.0;0.0;1574886
0;SILO;2;28skt-2-config-base+alloc+index;1471.5399273359355;False;All;1.0;15.0;False;16;4;1450482;0;0;13872023.0;0.0;124415287.0;0.0;0.067247;0.0;0.0;1.1e-05;0.0;17.242911;10.500531;2.434632;0.47158900000000004;2.52963;0.39399;0.0;0.0;1585852
0;SILO;3;28skt-3-config-base+alloc+index+latch;1473.151510050451;False;All;1.0;15.0;False;16;4;1446512;0;0;13701661.0;0.0;122207835.0;0.0;0.06727999999999999;0.0;0.0;1.1e-05;0.0;17.168135;10.447403999999999;2.405267;0.478138;2.510713;0.399825;0.0;0.0;1580704
0;SILO;4;28skt-4-config-base+alloc+index+latch+replicate_item;1475.431321539605;False;All;1.0;15.0;False;16;4;1440015;0;0;13772805.0;0.0;122968059.0;0.0;0.069155;0.0;0.0;1.1e-05;0.0;17.065285;10.388802;2.400974;0.48154399999999997;2.496644;0.404832;0.0;0.0;1573666
0;SILO;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;1486.5201278611669;False;All;1.0;15.0;False;16;4;1416876;0;0;13284732.0;0.0;126556027.0;0.0;0.070663;0.0;0.0;1.1e-05;0.0;16.977164000000002;10.144149;2.946571;0.41774300000000003;2.679971;0.37604499999999996;0.0;0.0;1577306
0;SILO;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;1551.4072077457738;False;All;1.0;15.0;False;16;4;1416563;0;0;11361525.0;0.0;123941849.0;0.0;0.06866599999999999;0.0;0.0;1e-05;0.0;16.252682;9.663916;2.925554;0.414959;2.625626;0.480048;0.0;0.0;1575908
0;SILO;1;28skt-1-config-base+alloc;190.01941998472245;False;All;1.0;15.0;False;1;4;0;0;0;621323.0;0.0;3802898.0;0.0;0.001963;0.0;0.0;5e-06;0.0;0.526262;0.0;0.05870499999999999;0.058128;0.10214;0.0020210000000000002;0.0;0.0;100000
0;SILO;2;28skt-2-config-base+alloc+index;221.41234506671154;False;All;1.0;15.0;False;1;4;0;0;0;612216.0;0.0;3267679.0;0.0;0.002061;0.0;0.0;5e-06;0.0;0.451646;0.0;0.059394;0.045548000000000005;0.109455;0.002048;0.0;0.0;100000
0;SILO;3;28skt-3-config-base+alloc+index+latch;223.9034886402565;False;All;1.0;15.0;False;1;4;0;0;0;576003.0;0.0;3345645.0;0.0;0.0020559999999999997;0.0;0.0;4e-06;0.0;0.446621;0.0;0.058691999999999994;0.046699;0.112349;0.002023;0.0;0.0;100000
0;SILO;4;28skt-4-config-base+alloc+index+latch+replicate_item;221.96178705874;False;All;1.0;15.0;False;1;4;0;0;0;595621.0;0.0;3199376.0;0.0;0.00203;0.0;0.0;5e-06;0.0;0.450528;0.0;0.057617999999999996;0.053642999999999996;0.103957;0.002015;0.0;0.0;100000
0;SILO;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;219.84786527722812;False;All;1.0;15.0;False;1;4;0;0;0;632960.0;0.0;3209214.0;0.0;0.002134;0.0;0.0;5e-06;0.0;0.45486000000000004;0.0;0.072065;0.027114;0.120551;0.002154;0.0;0.0;100000
0;SILO;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;222.4308128956488;False;All;1.0;15.0;False;1;4;0;0;0;592288.0;0.0;3274473.0;0.0;0.001993;0.0;0.0;4e-06;0.0;0.449578;0.0;0.071703;0.026235;0.109824;0.002194;0.0;0.0;100000
0;SILO;1;28skt-1-config-base+alloc;1717.6818404169157;False;All;1.0;15.0;False;28;4;4487179;0;0;26525170.0;0.0;246145158.0;0.0;0.136017;0.0;0.0;1.6e-05;0.0;45.041403;33.509769;5.330193;0.780051;4.05785;2.204112;0.0;0.0;2763100
