Backoff;CC;Configuration;Configuration Detailed;KTPS;NO HT;Numa Distance;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;neworder_cnt;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
0;HSTORE;1;28skt-1-config-base+alloc;22346.86680293052;False;All;1.0;15.0;False;784;1568;274872;0;0;251240863.0;0.0;703115431.0;0.0;0.17638099999999998;0.0;0.0;3.5e-05;0.0;1047.842085;8.764924;0.281622;131.465424;115.407898;12.467478;0.721978;223.417173;29867331
0;HSTORE;2;28skt-2-config-base+alloc+index;29483.3356769014;False;All;1.0;15.0;False;784;1568;113798;0;0;268098002.0;0.0;649606710.0;0.0;0.198548;0.0;0.0;2.7000000000000002e-05;0.0;885.359394;3.08338;0.2955;60.071622;54.206224;4.231418;0.743791;295.123687;33295087
0;HSTORE;3;28skt-3-config-base+alloc+index+latch;39273.96988521118;False;All;1.0;15.0;False;784;1568;37184;0;0;242850479.0;0.0;584570531.0;0.0;0.18143;0.0;0.0;2e-05;0.0;598.952764;0.11135199999999999;0.266538;54.130922999999996;28.271990999999996;3.945788;0.6728649999999999;79.90772199999999;30004149
0;HSTORE;4;28skt-4-config-base+alloc+index+latch+replicate_item;39228.120228211614;False;All;1.0;15.0;False;784;1568;36677;0;0;241437254.0;0.0;584261683.0;0.0;0.184063;0.0;0.0;2e-05;0.0;597.940126;0.114747;0.263341;49.362334999999995;27.639652;3.9601349999999997;0.672311;81.37635999999999;29918453
0;HSTORE;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;40619.774536366436;False;All;1.0;15.0;False;784;1568;44799;0;0;203898093.0;0.0;547309816.0;0.0;0.171461;0.0;0.0;1.9e-05;0.0;534.289624;0.176111;0.27369;40.54442;29.463351;4.160798000000001;0.6420319999999999;71.970304;27682046
0;HSTORE;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;40679.40842539437;False;All;1.0;15.0;False;784;1568;49503;0;0;180463693.0;0.0;587356396.0;0.0;0.169983;0.0;0.0;1.9e-05;0.0;524.651121;0.218615;6.171627;42.095303;37.365444000000004;4.323580000000001;0.637257;74.56242900000001;27222573
0;NO WAIT;1;28skt-1-config-base+alloc;3753.032636856701;False;All;1.0;15.0;False;784;1568;132307;0;0;390319388.0;0.0;9855531778.0;0.0;10.629699;0.0;0.0;0.00020899999999999998;0.0;13377.70558;2.5367900000000003;5928.936807;65.814757;12595.401587999999;1.719212;0.0;0.0;64039497
0;NO WAIT;2;28skt-2-config-base+alloc+index;3770.9116490318825;False;All;1.0;15.0;False;784;1568;136762;0;0;364817411.0;0.0;9960306956.0;0.0;10.877596;0.0;0.0;0.00020800000000000001;0.0;13674.760444;2.511375;6203.650418;51.72059;13133.118127;1.617309;0.0;0.0;65773359
0;NO WAIT;3;28skt-3-config-base+alloc+index+latch;1990.868325007241;False;All;1.0;15.0;False;784;1568;115860;0;0;835585194.0;0.0;8364433016.0;0.0;7.276688;0.0;0.0;0.000394;0.0;27755.918405;2.3355259999999998;13031.220647;275.305966;27121.471068;2.613932;0.0;0.0;70482626
0;NO WAIT;4;28skt-4-config-base+alloc+index+latch+replicate_item;15294.24309379928;False;All;1.0;15.0;False;784;1568;1644;0;0;164682361.0;0.0;14711568203.0;0.0;28.559065999999998;0.0;0.0;5.1e-05;0.0;1467.176189;0.067977;27.150409000000003;39.305572999999995;998.494016;2.7733529999999997;0.0;0.0;28621619
